region,year,csection_total_n,csection_total_pct,csection_emergency_n,csection_emergency_pct,csection_planned_n,csection_planned_pct,csection_unknown_type_n,csection_unknown_type_pct,instrumental_vaginal_n,instrumental_vaginal_pct
Region Stockholm,2023,5566,21.606304102999999,2726,10.581887349,2723,10.570241837999999,117,0.45417491560000001,1437,7.1156226789000003
Region Uppsala,2023,747,19.793322734,428,11.340752517,276,7.3131955485000004,43,1.1393746687999999,240,7.9286422200000004
Region Sörmland,2023,541,22.420223788000001,296,12.266887691999999,239,9.9046829672999994,6,0.24865312889999999,119,6.3568376068000001
Region Östergötland,2023,617,14.558754129,375,8.8485134497000004,241,5.6866446437000002,1,2.3596035899999999E-2,244,6.7384700358999998
Region Jönköpings län,2023,494,13.729849916999999,327,9.0883824346999997,157,4.3635352974000003,10,0.27793218450000001,268,8.6340206185999993
Region Kronoberg,2023,372,20.439560440000001,192,10.549450548999999,133,7.3076923077,47,2.5824175824000002,102,7.0441988950000001
Region Kalmar län,2023,344,16.195856874,202,9.5103578154000008,126,5.9322033897999997,16,0.75329566849999996,134,7.5280898876000002
Region Gotland,2023,100,21.691973969999999,54,11.713665944000001,44,9.5444685465999992,2,0.43383947940000001,16,4.432132964
Region Blekinge,2023,261,20.358814353,167,13.026521061,94,7.3322932917000001,0,0,85,8.3251714006000004
Region Skåne,2023,2426,18.553074335000002,1413,10.806056898,967,7.3952278983999999,46,0.35178953810000002,750,7.0422535211000001
Region Halland,2023,554,18.326166059999998,314,10.387032748999999,227,7.5090969235999996,13,0.43003638770000002,145,5.8728230052999999
Västra Götalandsregionen,2023,3310,19.480901654,1994,11.735624743000001,1248,7.3450650344000001,68,0.40021187689999999,873,6.3811124917999997
Region Värmland,2023,516,22.771403354,238,10.503089144,221,9.7528684906999992,57,2.5154457193000002,110,6.2857142857000001
Region Örebro län,2023,510,18.002117896000001,278,9.8129191670000004,226,7.9774091069999997,6,0.21178962230000001,226,9.7287989668999995
Region Västmanland,2023,483,20.041493775999999,303,12.572614108,177,7.3443983401999997,3,0.1244813278,186,9.6523092890999997
Region Dalarna,2023,400,16.032064127999998,228,9.1382765531000008,166,6.6533066131999998,6,0.24048096190000001,139,6.6348448687000001
Region Gävleborg,2023,427,20.094117647000001,266,12.517647059,161,7.5764705882000003,0,0,119,7.0082449941
Region Västernorrland,2023,416,21.655387819000001,239,12.441436752,174,9.0577824049999993,3,0.1561686622,133,8.8372093022999998
Region Jämtland Härjedalen,2023,222,19.254119687999999,128,11.101474415,89,7.7189939288999998,5,0.43365134430000002,73,7.8410311493
Region Västerbotten,2023,504,20.766378244999999,285,11.74289246,215,8.8586732591999997,4,0.1648125258,128,6.6562662506999999
Region Norrbotten,2023,368,18.436873747,200,10.020040079999999,143,7.1643286572999996,25,1.2525050099999999,103,6.3267813267999999
